	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
"[""cln,csp,dwn_feat_pwling5_"", ""cln,ica,dwn_feat_ilingam-causalindex_""]"	0.71632231405	0.791851325799	0.671599173554	0.672619130933	0.482424242424	0.489459070341	0.421260330579	0.686104917882
"[""cln,csp,dwn_feat_pwling5_"", ""cln,raw,dwn_feat_ilingam-causalindex_""]"	0.699289256198	0.74737018509	0.598090909091	0.744774235259	0.561900826446	0.538690068102	0.489070247934	0.681423219256
"[""cln,raw,dwn_feat_FFT_"", ""cln,csp,dwn_feat_pwling5_""]"	0.580330578512	0.593274563543	0.43457231405	0.664652096684	0.460851239669	0.506777332145	0.440433884298	0.618317659112
"[""cln,raw,dwn_feat_ilingam-causalorder_"", ""cln,raw,dwn_feat_mvar-COHphs_""]"	0.600772727273	0.504994227512	0.492338842975	0.586149585595	0.498980716253	0.458194787239	0.532975206612	0.667002171453
"[""cln,raw,dwn_feat_ilingam-causalindex_"", ""cln,ica,dwn_feat_ilingam-causalindex_""]"	0.617311983471	0.631682192102	0.628111570248	0.63642552213	0.558203856749	0.383916940902	0.416859504132	0.67380157201
"[""cln,csp,dwn_feat_ilingam-causalorder_"", ""cln,csp,dwn_feat_FFT_""]"	0.559518595041	0.498480826939	0.501654958678	0.504450043157	0.580159779614	0.521624617213	0.495785123967	0.667786723553
"[""cln,csp,dwn_feat_ilingam-causalorder_"", ""cln,raw,dwn_feat_mvar-COHphs_""]"	0.559518595041	0.498480826939	0.501654958678	0.504450043157	0.580159779614	0.521624617213	0.495785123967	0.667786723553
"[""cln,ica,dwn_feat_ilingam-causalindex_"", ""cln,ica,dwn_feat_PSDcorrcoefeig_""]"	0.429314049587	0.593070223981	0.659169421488	0.662525085897	0.481829201102	0.77835910005	0.31173553719	0.649857096981
"[""cln,ica,dwn_feat_ampcorrcoef-beta-eig_"", ""cln,raw,dwn_feat_FFT_""]"	0.368095041322	0.651863638927	0.729280991736	0.797669402704	0.853553719008	0.705105352164	0.390661157025	0.698840260574
"[""cln,raw,dwn_feat_pwling5_"", ""cln,csp,dwn_feat_ilingam-causalorder_""]"	0.640049586777	0.464053172955	0.51370661157	0.667730588631	0.48044077135	0.613326420312	0.511446280992	0.650840749916
"[""cln,ica,dwn_feat_ampcorrcoef-beta-eig_"", ""cln,raw,dwn_feat_xcorr-tpeak_""]"	0.473469008264	0.777220918849	0.638702479339	0.649387540866	0.759933884298	0.741158759541	0.625495867769	0.7046950026
"[""cln,csp,dwn_feat_FFT_"", ""cln,csp,dwn_feat_pwling5_""]"	0.580330578512	0.593274563543	0.43457231405	0.664652096684	0.460851239669	0.506777332145	0.440433884298	0.618317659112
"[""cln,raw,dwn_feat_FFT_"", ""cln,csp,dwn_feat_ilingam-causalorder_""]"	0.559518595041	0.498480826939	0.501654958678	0.504450043157	0.580159779614	0.521624617213	0.495785123967	0.667786723553
"[""cln,raw,dwn_feat_mvar-COHphs_"", ""cln,raw,dwn_feat_ilingam-causalindex_""]"	0.525119834711	0.503869706646	0.573446280992	0.665302347127	0.522283746556	0.560520361991	0.379669421488	0.657278343579
"[""cln,raw,dwn_feat_PSDcorrcoefeig_"", ""cln,ica,dwn_feat_ampcorrcoef-beta-eig_""]"	0.441276859504	0.695427482604	0.740611570248	0.78624256421	0.81441046832	0.762613407834	0.721033057851	0.759865125241
"[""cln,ica,dwn_feat_PSDcorrcoefeig_"", ""cln,csp,dwn_feat_PSDlogfcorrcoefeig_""]"	0.53332231405	0.648695229405	0.621694214876	0.641561440869	0.581696969697	0.765281491384	0.264628099174	0.654335260116
"[""cln,raw,dwn_feat_ilingam-causalindex_"", ""cln,csp,dwn_feat_FFT_""]"	0.525119834711	0.503869706646	0.573446280992	0.665302347127	0.522283746556	0.560520361991	0.379669421488	0.657278343579
"[""cln,ica,dwn_feat_ampcorrcoef-beta-eig_"", ""cln,ica,dwn_feat_ilingam-causalindex_""]"	0.476758264463	0.715453178753	0.705479338843	0.787927876588	0.733090909091	0.677523252891	0.390330578512	0.711843364835
"[""cln,raw,dwn_feat_FFT_"", ""cln,raw,dwn_feat_ilingam-causalindex_""]"	0.525119834711	0.503869706646	0.573446280992	0.665302347127	0.522283746556	0.560520361991	0.379669421488	0.657278343579
"[""cln,csp,dwn_feat_ilingam-causalorder_"", ""cln,raw,dwn_feat_xcorr-tpeak_""]"	0.647477272727	0.674222415121	0.466458677686	0.555435149916	0.558776859504	0.536213378125	0.670041322314	0.650921644188
"[""cln,csp,dwn_feat_PSDlogfcorrcoefeig_"", ""cln,raw,dwn_feat_ilingam-causalorder_""]"	0.624380165289	0.578530388096	0.544636363636	0.557394332637	0.63644077135	0.477232734586	0.233966942149	0.66637290883
"[""cln,raw,dwn_feat_ampcorrcoef-high_gamma_"", ""cln,raw,dwn_feat_FFT_""]"	0.486144628099	0.771327883227	0.697049586777	0.680756992558	0.680275482094	0.335618629736	0.365289256198	0.685221732881
"[""cln,raw,dwn_feat_pwling5_"", ""cln,ica,dwn_feat_pwling5_""]"	0.514863636364	0.425867115634	0.410283057851	0.653649927183	0.570534435262	0.507989967549	0.485867768595	0.599279138759
"[""cln,ica,dwn_feat_FFT_"", ""cln,raw,dwn_feat_ilingam-causalindex_""]"	0.525119834711	0.503869706646	0.573446280992	0.665302347127	0.522283746556	0.560520361991	0.379669421488	0.657278343579
"[""cln,ica,dwn_feat_FFT_"", ""cln,ica,dwn_feat_ampcorrcoef-beta-eig_""]"	0.368095041322	0.651863638927	0.729280991736	0.797669402704	0.853553719008	0.705105352164	0.390661157025	0.698840260574
"[""cln,ica,dwn_feat_PSDcorrcoefeig_"", ""cln,ica,dwn_feat_pwling5_""]"	0.494768595041	0.778524437128	0.671438016529	0.644033538953	0.464749311295	0.653253405092	0.362396694215	0.623887741995
"[""cln,csp,dwn_feat_PSDlogfcorrcoefeig_"", ""cln,ica,dwn_feat_ampcorrcoef-beta-eig_""]"	0.432495867769	0.759644832253	0.738946280992	0.781949218346	0.884402203857	0.748757370081	0.295247933884	0.743254885769
"[""cln,raw,dwn_feat_PSDcorrcoefeig_"", ""cln,csp,dwn_feat_FFT_""]"	0.484012396694	0.662548830475	0.624520661157	0.653716545195	0.491829201102	0.707716303305	0.738884297521	0.691108970242
"[""cln,csp,dwn_feat_pwling5_"", ""cln,csp,dwn_feat_PSDlogfcorrcoefeig_""]"	0.539037190083	0.762894371164	0.614334710744	0.695041873702	0.624903581267	0.474941724942	0.316673553719	0.643017249289
