settingsname	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
singlech_timestats_raw	0.493548611111	0.844587083584	0.76859220679	0.65687080626	0.775699449449	0.835668103448	0.577314814815	0.743815773306
singlech_timestats_raw	0.492987847222	0.818866497312	0.776742669753	0.687663412133	0.773514764765	0.817013223712	0.619537037037	0.758905405065
singlech_timestats_ica	0.495065972222	0.747789739017	0.73240470679	0.651630205787	0.751124874875	0.733899033737	0.477592592593	0.710728110841
singlech_timestats_ica	0.550934027778	0.75603658158	0.714183834877	0.614887648766	0.757147147147	0.782292804271	0.562407407407	0.70473282066
singlech_timestats_csp	0.542555555556	0.788173191303	0.755865933642	0.684016459391	0.796336336336	0.645045518207	0.541574074074	0.743975467031
singlech_timestats_csp	0.522461805556	0.794435329615	0.74464525463	0.682737519167	0.777110860861	0.61676753428	0.640509259259	0.740815620629
singlech_timestats_raw	0.504708333333	0.811501277372	0.751800925926	0.679313360133	0.76792042042	0.717303921569	0.579537037037	0.737995955918
singlech_timestats_csp	0.517090277778	0.76768593674	0.702542631173	0.662927647657	0.782180930931	0.607605906758	0.550185185185	0.720289596563
singlech_timestats_ica	0.484434027778	0.758434907858	0.716463541667	0.65917659504	0.776715465465	0.720288417299	0.523703703704	0.713275518788
singlech_timestats_raw	0.531097222222	0.819799737883	0.753277584877	0.704801137054	0.75762012012	0.866114561767	0.611944444444	0.758718825407
singlech_timestats_ica	0.53584375	0.76444197104	0.710152584877	0.688361240976	0.762387387387	0.671677306188	0.586759259259	0.728702750481
singlech_timestats_csp	0.538038194444	0.746539367397	0.760016010802	0.67237954209	0.792905405405	0.706140729239	0.567685185185	0.739047152554
singlech_timestats_raw	0.515302083333	0.817922664844	0.77847337963	0.701806031042	0.799996246246	0.810108226881	0.592407407407	0.761806672471
singlech_timestats_csp	0.544657986111	0.765198665614	0.747225887346	0.648963777911	0.795832082082	0.680505513702	0.598333333333	0.730192340711
singlech_timestats_ica	0.518052083333	0.808749453256	0.714152199074	0.6665464375	0.770511761762	0.760272889349	0.56212962963	0.732693426754
singlech_timestats_raw	0.518671875	0.786623065693	0.746963734568	0.662105454144	0.762417417417	0.851327928813	0.603888888889	0.739610986678
singlech_timestats_csp	0.530253472222	0.772736123589	0.728789930556	0.68219900948	0.793788788789	0.63983063032	0.555324074074	0.736219365786
singlech_timestats_ica	0.514494791667	0.775354138747	0.70213908179	0.683969788939	0.758742492492	0.726600241546	0.554074074074	0.718918450438
mvar_raw	0.453784722222	0.82247967777	0.717652006173	0.750968386992	0.896007257257	0.758702122153	0.369074074074	0.765772126362
mvar_ica	0.43796875	0.943935523114	0.851059992284	0.78300250543	0.943450950951	0.845984823671	0.422777777778	0.832049059891
mvar_csp	0.477770833333	0.937561751825	0.839367476852	0.75741812834	0.902631381381	0.901685070163	0.476481481481	0.823814884942
mvar_raw	0.450020833333	0.777798564477	0.769036265432	0.753514200268	0.881382632633	0.814868731309	0.360648148148	0.769611833552
mvar_csp	0.426253472222	0.919725826918	0.825064236111	0.776440593067	0.930520520521	0.853518907563	0.432222222222	0.819721454993
mvar_ica	0.476815972222	0.953311776156	0.809512731481	0.779338422456	0.929014014014	0.869317201518	0.425092592593	0.830230271653
SVC_raw_corrcoef	0.548091942149	0.954318444514	0.792945707071	0.685828994524	0.973044821681	0.622017574385	0.510220385675	0.814798775961
SVC_raw_cov	0.513585743802	0.922419850478	0.775856749311	0.649786694303	0.913816171543	0.287339353223	0.550082644628	0.772646348344
SVC_raw_lmom-6	0.508138429752	0.760388365535	0.747180612948	0.700260088651	0.742860174224	0.598796140453	0.366859504132	0.726142683663
SVC_raw_psd_logf	0.560015495868	0.880761655629	0.799101239669	0.767753856629	0.955122850123	0.714022992995	0.413650137741	0.801401171194
SVC_csp_act	0.479714876033	0.878234179157	0.650226469238	0.718381613161	0.801106395652	0.66606331655	0.573608815427	0.736504639949
SVC_csp_ampcorrcoef-alpha-eig	0.559850206612	0.710572270478	0.537779097796	0.725686544373	0.580641054277	0.668664024828	0.355509641873	0.665514496905
SVC_ica_pib	0.600977789256	0.851776068323	0.781910525712	0.720792025109	0.916216216216	0.843034575897	0.504710743802	0.790880295061
SVC_ica_phase-low_gamma-sync	0.626477789256	0.972616864029	0.687225837925	0.785282881872	0.879326930236	0.83541295306	0.488044077135	0.793358244036
SVC_raw_pib_ratioBB	0.63601911157	0.904407677709	0.787831267218	0.783998639475	0.85591877001	0.730828024799	0.435867768595	0.806804014988
SVC_csp_PSDlogfcorrcoefeig	0.434804752066	0.567634150004	0.644920052801	0.601093947867	0.661321941776	0.577487139972	0.277190082645	0.645767846363
SVC_csp_pwling5	0.570152892562	0.629095616895	0.487257116621	0.698008505605	0.50393827712	0.372544285129	0.410013774105	0.621166304048
SVC_ica_corrcoefeig	0.560799586777	0.736427618241	0.576886765381	0.567434798453	0.642676271313	0.408600890555	0.463484848485	0.646827118138
SVC_raw_lmom-1	0.467925619835	0.746205280902	0.583264807163	0.528268523387	0.591737026282	0.360618429431	0.408429752066	0.635697738209
SVC_raw_psd_logf	0.560015495868	0.880761655629	0.799101239669	0.767753856629	0.955122850123	0.714022992995	0.413650137741	0.801401171194
SVC_ica_lmom-3	0.499322830579	0.811746449612	0.592817033976	0.687952552284	0.656079591989	0.652057249315	0.565592286501	0.674531206702
SVC_raw_lmom-1	0.467925619835	0.746205280902	0.583264807163	0.528268523387	0.591737026282	0.360618429431	0.408429752066	0.635697738209
SVC_csp_FFTcorrcoefeig	0.53054338843	0.648429819798	0.61847761708	0.570452743098	0.561351351351	0.428873632032	0.488980716253	0.643076101845
SVC_ica_corrcoefeig	0.560799586777	0.736427618241	0.576886765381	0.567434798453	0.642676271313	0.408600890555	0.463484848485	0.646827118138
SVC_csp_PSDlogfcorrcoefeig	0.434804752066	0.567634150004	0.644920052801	0.601093947867	0.661321941776	0.577487139972	0.277190082645	0.645767846363
SVC_ica_ampcorrcoef-beta-eig	0.328891528926	0.709098204765	0.770646235078	0.759733935988	0.858504206686	0.711402754993	0.424545454545	0.742347797972
